122,66.111.54.249,2019-01-22T03:56:45.000Z,GET,/image/62139/productModel/200x200,HTTP/1.1,200,2931,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
123,66.111.54.249,2019-01-22T03:56:45.000Z,GET,/image/65321/productModel/200x200,HTTP/1.1,200,3788,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
124,66.111.54.249,2019-01-22T03:56:45.000Z,GET,/image/57599/productModel/200x200,HTTP/1.1,200,2924,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
125,66.111.54.249,2019-01-22T03:56:45.000Z,GET,/image/61964/productModel/200x200,HTTP/1.1,200,3323,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
126,66.111.54.249,2019-01-22T03:56:45.000Z,GET,/image/56228/productModel/200x200,HTTP/1.1,200,3385,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
127,2.177.12.140,2019-01-22T03:56:45.000Z,GET,/image/62843/productModel/150x150,HTTP/1.1,200,4510,"\"https://www.zanbil.ir/m/product/33606/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-55NU8950-Ultra-HD-4K\"","Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0\"",Android 7,Y
128,2.179.141.98,2019-01-22T03:56:45.000Z,POST,"/ajaxFilter/p65,b1?page=1",HTTP/1.1,200,5409,"\"https://www.zanbil.ir/filter/p65,b1?page=2\"","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36\"",Windows NT,Y
129,66.111.54.249,2019-01-22T03:56:45.000Z,GET,/image/99/brand,HTTP/1.1,200,2136,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
130,2.179.141.98,2019-01-22T03:56:45.000Z,GET,/static/js/accordion.js?_=1548117047784,HTTP/1.1,200,258,"\"https://www.zanbil.ir/filter/p65,b1?page=2\"","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36\"",Windows NT,Y
131,66.111.54.249,2019-01-22T03:56:45.000Z,GET,/image/893/brand,HTTP/1.1,200,3131,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
132,66.111.54.249,2019-01-22T03:56:45.000Z,GET,/image/5/productTypeType,HTTP/1.1,200,11174,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
133,66.111.54.249,2019-01-22T03:56:45.000Z,GET,/image/877/brand,HTTP/1.1,200,3121,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
134,66.111.54.249,2019-01-22T03:56:45.000Z,GET,/image/10/productTypeType,HTTP/1.1,200,11404,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
135,207.46.13.104,2019-01-22T03:56:45.000Z,GET,"/filter?f=b36,b238,b244",HTTP/1.1,200,37257,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
136,66.111.54.249,2019-01-22T03:56:45.000Z,GET,/image/1218/mainSlideMobile,HTTP/1.1,200,68123,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
137,66.111.54.249,2019-01-22T03:56:45.000Z,GET,/image/1647/productModel/200x200,HTTP/1.1,200,3744,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
138,66.111.54.249,2019-01-22T03:56:46.000Z,GET,/image/60751/productModel/200x200,HTTP/1.1,200,2342,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
139,66.249.66.91,2019-01-22T03:56:46.000Z,GET,/filter/b36%2Cb41%2Cb598%2Cb168%2Cb103%2Cb614%2Cb88%2Cb19%2Cb194%2Cb35%2Cb321%2Cb5%2Cb261%2Cb442%2Cb484%2Cb723%2Cb573%2Cb192%2Cb724%2Cb435%2Cb183%2Cb542%2Cb135%2Cb63%2Cb497%2Cb619%2Cb613%2Cb126%2Cb74%2Cb441%2Cb568%2Cb880%2Cb647%2Cb185%2Cb584%2Cb224%2Cb213%2Cb3%2Cb570%2Cb198%2Cb256%2Cb238%2Cb485%2Cb574%2Cb186%2Cb548%2Cstexists%2Cb215%2Cb904%2Cb615%2Cb603%2Cb203%2Cb43%2Cb152%2Cb95%2Cb147%2Cb143%2Cb656%2Cb2%2Cb308%2Cb80%2Cb22%2Cb883%2Cb523%2Cb903?page=93,HTTP/1.1,200,32624,"","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)\"",compatible; Googlebot,N
140,66.111.54.249,2019-01-22T03:56:46.000Z,GET,/favicon.ico,HTTP/1.1,200,0,"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,N
141,66.111.54.249,2019-01-22T03:56:46.000Z,GET,/image/879/brand,HTTP/1.1,200,3348,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
142,66.111.54.249,2019-01-22T03:56:46.000Z,GET,/image/886/brand,HTTP/1.1,200,3860,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
143,66.111.54.249,2019-01-22T03:56:46.000Z,GET,/image/20/brand,HTTP/1.1,200,1958,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
144,66.111.54.249,2019-01-22T03:56:46.000Z,GET,/image/11/productTypeType,HTTP/1.1,200,11468,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
145,66.111.54.249,2019-01-22T03:56:46.000Z,GET,/image/14/productTypeType,HTTP/1.1,200,11129,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
146,66.111.54.249,2019-01-22T03:56:46.000Z,GET,/image/978/mainSlideMobile,HTTP/1.1,200,66099,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
147,207.46.13.104,2019-01-22T03:56:46.000Z,GET,/browse/flute-keys/www.zanbil.ir,HTTP/1.1,404,33605,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
148,66.249.66.194,2019-01-22T03:56:47.000Z,GET,/m/product/31479/61477/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-Honor-5x-Dual-16GB-%28KIW-L21%29,HTTP/1.1,200,21141,"","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)\"",Linux; Android,N
149,207.46.13.136,2019-01-22T03:56:47.000Z,GET,"/filter/b1,b103,b105,b109,b111,b113,b135,b144,b176,b186,b221,b261,b291,b321,b454,b52,b598,b647,b656,b723,b77,b83",HTTP/1.1,200,39301,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
150,54.36.148.32,2019-01-22T03:56:47.000Z,GET,/product/14934/75047,HTTP/1.1,200,44428,"","Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)\"",compatible; AhrefsBot,N
151,54.36.149.35,2019-01-22T03:56:47.000Z,GET,"/filter/p10143,stexists,v1|%D9%85%D8%B4%DA%A9%DB%8C",HTTP/1.1,200,29665,"","Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)\"",compatible; AhrefsBot,N
152,207.46.13.104,2019-01-22T03:56:47.000Z,GET,/image/28874?name=h-br515xxxx.jpg&wh=max,HTTP/1.1,200,9689,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
153,66.249.66.194,2019-01-22T03:56:48.000Z,GET,/product/22706/%D8%B3%D8%A7%D8%B9%D8%AA-%D9%88%D8%B1%D8%B2%D8%B4%DB%8C-%D8%BA%D9%88%D8%A7%D8%B5%DB%8C-CHRIS-BENZ-%D9%85%D8%AF%D9%84-CBD.SI.KBS,HTTP/1.1,200,41552,"","","",N
154,66.249.66.91,2019-01-22T03:56:48.000Z,GET,/filter/b656%2Cb703%2Cb32%2Cb67%2Cb226%2Cb41%2Cb598%2Cb168%2Cb723%2Cb597%2Cb88%2Cb548%2Cb6%2Cb679%2Cb215%2Cb105%2Cb194%2Cb74%2Cb542%2Cb35%2Cb113%2Cb820%2Cb574%2Cb442%2Cb645%2Cb724%2Cb118%2Cb482%2Cb400%2Cb95%2Cb135%2Cb249%2Cb221%2Cb523%2Cb854%2Cb126%2Cstexists%2Cb216%2Cb217%2Cb152%2Cb99%2Cb188%2Cb209%2Cb192%2Cb213%2Cb136%2Cb218%2Cb4%2Cb648%2Cb454%2Cb435%2Cb261%2Cb147?page=50,HTTP/1.1,200,41332,"","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)\"",compatible; Googlebot,N
155,172.20.2.174,2019-01-22T03:56:49.000Z,GET,/site/ping,HTTP/1.1,200,4,"","","",N
156,5.160.157.20,2019-01-22T03:56:49.000Z,GET,/browse/blu-ray,HTTP/1.1,301,178,"","Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0\"",Windows NT,N
157,5.160.157.20,2019-01-22T03:56:49.000Z,GET,/filter?f=p12129&page=21,HTTP/1.1,301,178,"","Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0\"",Windows NT,N
158,66.249.66.194,2019-01-22T03:56:49.000Z,GET,/m/browse/electric-shavers/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%A7%D8%B5%D9%84%D8%A7%D8%AD,HTTP/1.1,200,20827,"","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)\"",Linux; Android,N
159,5.78.198.52,2019-01-22T03:56:49.000Z,GET,/m/filter/p62?page=1,HTTP/1.1,200,19265,"\"https://www.zanbil.ir/m/browse/cell-phone/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84\"","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36\"",Linux; Android,Y
160,66.249.66.91,2019-01-22T03:56:50.000Z,GET,/filter/b481%2Cb226%2Cb570%2Cb80%2Cb270%2Cb903%2Cb883%2Cb99%2Cb152%2Cb249%2Cb20%2Cb701%2Cb723%2Cb42%2Cb198%2Cb35%2Cb183%2Cb219%2Cb308%2Cb126%2Cb523%2Cb900%2Cb188%2Cb703%2Cb890%2Cb148%2Cb236%2Cb256%2Cb74%2Cb400%2Cb209%2Cb19%2Cb651%2Cb202%2Cb4%2Cb22%2Cb238%2Cb6%2Cb596%2Cb143%2Cb877%2Cb485%2Cb221%2Cb194%2Cb136%2Cb647%2Cb497%2Cb546%2Cb105%2Cb185%2Cb95%2Cb568%2Cb151%2Cb88%2Cb597%2Cb820%2Cb103%2Cb613%2Cb880%2Cb36%2Cb212%2Cb542%2Cb213%2Cb186?page=10,HTTP/1.1,200,42101,"","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)\"",compatible; Googlebot,N
161,5.78.198.52,2019-01-22T03:56:50.000Z,GET,/settings/logo,HTTP/1.1,200,4120,"\"https://www.zanbil.ir/m/filter/p62?page=1\"","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36\"",Linux; Android,Y
162,5.211.97.39,2019-01-22T03:56:50.000Z,GET,/m/browse/food-preparation/%D8%A2%D9%85%D8%A7%D8%AF%D9%87-%D8%B3%D8%A7%D8%B2%DB%8C-%D8%BA%D8%B0%D8%A7,HTTP/1.1,200,16726,"\"https://www.zanbil.ir/m/browse/cooking-tools/%D9%BE%D8%AE%D8%AA-%D9%88-%D9%BE%D8%B2\"","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1\"",iPhone; CPU,Y
163,5.78.198.52,2019-01-22T03:56:50.000Z,GET,/image/57737/productModel/200x200,HTTP/1.1,200,4361,"\"https://www.zanbil.ir/m/filter/p62?page=1\"","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36\"",Linux; Android,Y
164,5.78.198.52,2019-01-22T03:56:50.000Z,GET,/image/55109/productModel/200x200,HTTP/1.1,200,4313,"\"https://www.zanbil.ir/m/filter/p62?page=1\"","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36\"",Linux; Android,Y
165,5.211.97.39,2019-01-22T03:56:50.000Z,GET,/settings/logo,HTTP/1.1,200,4120,"\"https://www.zanbil.ir/m/browse/food-preparation/%D8%A2%D9%85%D8%A7%D8%AF%D9%87-%D8%B3%D8%A7%D8%B2%DB%8C-%D8%BA%D8%B0%D8%A7\"","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1\"",iPhone; CPU,Y
166,5.78.198.52,2019-01-22T03:56:50.000Z,GET,/image/61936/productModel/200x200,HTTP/1.1,200,5953,"\"https://www.zanbil.ir/m/filter/p62?page=1\"","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36\"",Linux; Android,Y
167,5.211.97.39,2019-01-22T03:56:50.000Z,HEAD,/amp_preconnect_polyfill_404_or_other_error_expected._Do_not_worry_about_it?1548117000000,HTTP/1.1,404,0,"\"https://www.zanbil.ir/m/browse/food-preparation/%D8%A2%D9%85%D8%A7%D8%AF%D9%87-%D8%B3%D8%A7%D8%B2%DB%8C-%D8%BA%D8%B0%D8%A7\"","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1\"",iPhone; CPU,Y
168,5.78.198.52,2019-01-22T03:56:50.000Z,GET,/image/52485/productModel/200x200,HTTP/1.1,200,5064,"\"https://www.zanbil.ir/m/filter/p62?page=1\"","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36\"",Linux; Android,Y
169,91.99.72.15,2019-01-22T03:56:50.000Z,GET,/product/32257/62557/%D8%B9%D8%B7%D8%B1-%D9%88-%D8%A7%D8%AF%DA%A9%D9%84%D9%86-%D9%85%D8%B4%D8%AA%D8%B1%DA%A9-Marc-Joseph-%D9%85%D8%AF%D9%84-Vetiver-Story,HTTP/1.1,200,41176,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.3 Safari/534.53.10\"",Macintosh; Intel,N
170,54.36.148.161,2019-01-22T03:56:50.000Z,GET,/filter/p28%2Cv1%7C%D8%B3%D9%81%DB%8C%D8%AF%20%D9%82%D8%B1%D9%85%D8%B2?o=v1,HTTP/1.1,302,0,"","Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)\"",compatible; AhrefsBot,N
171,66.249.66.91,2019-01-22T03:56:51.000Z,GET,/filter/b481%2Cb226%2Cb570%2Cb598%2Cstexists%2Cb270%2Cb903%2Cb883%2Cb99%2Cb261%2Cb249%2Cb20%2Cb701%2Cb42%2Cb879%2Cb198%2Cb548%2Cb183%2Cb88%2Cb219%2Cb103%2Cb1%2Cb126%2Cb523%2Cb900%2Cb192%2Cb703%2Cb890%2Cb148%2Cb236%2Cb256%2Cb651%2Cb41%2Cb202%2Cb647%2Cb4%2Cb22%2Cb613%2Cb238%2Cb6%2Cb221%2Cb36%2Cb614%2Cb3%2Cb216%2Cb218%2Cb43%2Cb125%2Cp1%2Cp32553?page=35,HTTP/1.1,200,32397,"","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)\"",compatible; Googlebot,N
172,66.249.66.194,2019-01-22T03:56:51.000Z,GET,/product/26694/61119/%D8%AF%D9%88%DA%86%D8%B1%D8%AE%D9%87-%DA%A9%D9%88%D9%87%D8%B3%D8%AA%D8%A7%D9%86-%D9%81%D9%88%D8%AC%DB%8C-%D9%85%D8%AF%D9%84-NEVADA-1.7-%282016%29,HTTP/1.1,200,41524,"","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)\"",compatible; Googlebot,N
173,157.55.39.245,2019-01-22T03:56:51.000Z,GET,"/filter/b1,b103,b105,b111,b122,b130,b212,b552,b68,b718,b98",HTTP/1.1,200,38051,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
174,66.111.54.249,2019-01-22T03:56:51.000Z,GET,/image/31485/productModel/200x200,HTTP/1.1,200,3261,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
175,66.111.54.249,2019-01-22T03:56:51.000Z,GET,/image/50995/productModel/200x200,HTTP/1.1,200,2244,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
176,66.111.54.249,2019-01-22T03:56:51.000Z,GET,/image/64431/productModel/200x200,HTTP/1.1,200,4227,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
177,66.111.54.249,2019-01-22T03:56:51.000Z,GET,/image/65362/productModel/200x200,HTTP/1.1,200,3776,"\"https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1\"","Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36\"",Linux; Android,Y
178,173.249.54.67,2019-01-22T03:56:51.000Z,GET,/image/34185?name=mfp-m130a-1.jpg&wh=200x200,HTTP/1.1,200,5395,"","Dalvik/2.1.0 (Linux; U; Android 8.0.0; PRA-LA1 Build/HONORPRA-LA1)\"",Linux; U,N
179,91.99.72.15,2019-01-22T03:56:52.000Z,GET,/product/2623?model=2699,HTTP/1.1,200,43555,"","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7(KHTML, like Gecko) Chrome/16.0.912.36 Safari/535.7\"",Windows NT,N
180,207.46.13.136,2019-01-22T03:56:53.000Z,GET,/filter/b152%2Cp1%2Cb144%2Cb880,HTTP/1.1,200,38190,"","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)\"",compatible; bingbot,N
181,91.99.72.15,2019-01-22T03:56:53.000Z,GET,/product/32718/63159/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%A7%DB%8C%DA%A9%D8%B3-%D9%88%DB%8C%DA%98%D9%86-%D9%85%D8%AF%D9%84-LE-29D40,HTTP/1.1,200,42528,"","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.3 Safari/534.53.10\"",Macintosh; Intel,N
